系統,サークル名,活動概要,公式HP,X,Instagram,Facebook,YouTube
文化系,星陵アンサンブル,学年・学部を越えて音楽好きが集まる器楽サークル。定期演奏会（年2回）、病院での演奏など。,,@seiryo_ensemble,@seiryoensemble,,https://www.youtube.com/@seiryouensemble6037
文化系,保健部セツルメント,月1回、小学生向けの企画を考えて集まり、公園・市民センターでのレクリエーション、美術館・科学館見学、季節イベントなどを行う。,,@hokenbu1,@hokenbu1,,
文化系,東洋医学研究会,東洋医学に関する学習・交流を行う団体。公式SNS（X・Instagram）で情報発信を確認。,,Tutouyouiken,tohoku_touyouigaku,,
文化系,写真,医学部写真サークル。公式HPを中心に活動情報や作品発信を確認。,https://tohokumedphoto.web.fc2.com/home.html,tohokumedphoto,,,
文化系,艮陵新聞,医学部の学生新聞・情報発信団体。公式XとInstagramでの発信を確認。,,@gonryo_press,gonryopress,,
文化系,軽音楽,季節ごとの部内ライブ、学祭、医学祭、他大学合同ライブ、北医音などに出演。年間10回程度ライブあり。活動日は各バンドごとに自由に決定。,,@tohokumedkeion,@tohokumedkeion,,https://www.youtube.com/@tohokumedkeion9538/videos
文化系,星陵混声合唱団,音楽好きが集まり自由に楽しく歌う合唱団。火曜夕方に活動し、星陵アンサンブル演奏会、医学祭、病院コンサート、東北大学祭などに参加。,,@Seiryo_chorus,@seiryo.chorus_tohokumed,,
文化系,救命救急サークル Ret’s,救命・救急をテーマに学ぶサークル。公式Instagramでの情報発信を確認。,,,tohokumed_rets,,
文化系,鉄道愛好会,公開Web上で詳細は多く確認できなかったが、第三者サイトの旧Twitter解析ページで「東北大学医学部鉄道愛好会 宣伝部」のXアカウント表記を確認。,https://geo.d51498.com/seiryou_aitetsu/,@tohoku_med_rail,,,https://www.youtube.com/@%E6%9D%B1%E5%8C%97%E5%8C%BB%E9%89%84
文化系,医学祭実行委員会,3年に1回の星陵キャンパス独自の学園祭「医学祭」を学生主体で運営。一般向けに医療を身近に感じてもらう場づくりを行う。,https://tohoku-medfes.com/,@TohokuMedFes,,@TohokuMedFes,
文化系,茶道,表千家。先生宅でのお稽古や市民センターでの練習を実施。星茶会、医学祭茶会、全国学生大茶会などに参加。,,@seicyakai,@seicyakai,,
文化系,臨床推論サークル Team COOL,主訴から疾患まで臨床推論を学ぶ勉強会。低学年も歓迎。Facebookページでは勉強会報告や合宿等の活動を確認。,,,,,
文化系,国際交流サークル I Health,海外協定校や米国医学生との交流、洋書の読み合わせなどを主にオンラインで実施。活動日時は活動ごとに自由に決定。,,@i_health_suki,@tohoku_i_health,,
文化系,バイク,公開情報未確認,,,,,
文化系,学生会,公開Web上で活動詳細・SNS・HPを確認しきれず。,,,,,
文化系,囲碁将棋部,囲碁や将棋の棋力向上、大会出場、交流を目的とする新設部活。ボードゲーム交流会も予定。初心者歓迎。,,,,,
体育系,陸上競技,火・木・土を中心に評定河原グラウンドで活動。短距離・中長距離・跳躍・投擲などに分かれ、運動不足解消から記録更新まで幅広く取り組む。,https://touhokumedtf.web.fc2.com/,@tohoku_iriku,@tohoku.med.trackandfield,,
体育系,水泳,泳力別の複数グループに分かれて練習。上級者から大学で始めた初心者まで幅広く参加でき、大会結果や部員紹介も公開。,https://tohokumedswim.wixsite.com/website,@tmsctmsctmsc,@tohoku_med_swimming_club,,
体育系,ラグビー,東医体優勝を目標に、火・木・土に川内グラウンドで練習。初心者・経験者・マネージャー歓迎。試合結果や年間予定を公式サイトで公開。,https://tohokumedrugby.wixsite.com/official,@tohokumed_rfc,@tohoku.med.rugby,,
体育系,サッカー,北医体・東医体・国公立大会でのメダル獲得を目標に、平日夕方と土曜に練習。試合結果やニュースを公式サイトに掲載。,https://gonryo2014.jimdofree.com/,@gonryo_2020,@tohoku.med.soccer,,
体育系,男子バスケットボール,週3回、星陵体育館で練習。夏の東医体や12大戦など各種大会に参加し、部内イベントも実施。,,@tohoku_med_bb,@tohoku.med.basket,,
体育系,女子バスケットボール,週3回、星陵体育館で練習。東医体や各種大会に参加。,,@tohokumedbaske,@tohokumed_basketball3,,https://www.youtube.com/channel/UCZyfMvgH7unoBUNAPQILeLg
体育系,バレーボール,医学科・保健学科・薬学部などの学生が所属し、各大会参加と日々の練習・イベントを通して交流。星陵体育館で活動。,https://tohokumedvbt.wixsite.com/tohokumed-vbt,@tohoku_volley,@tohoku_volley,,
体育系,準硬式野球,朝練や週1回の夜練、試合に加え、部飯や温泉・花火・スノボなどのイベントもある。初心者・マネージャー歓迎。,https://gonryobaseball.jimdofree.com/,@gonryo89,@gonryo_89,,
